Name,Email,Day 1 Morning,Day 1 Afternoon,Day 2 Morning,Day 2 Afternoon,Day 3 Morning,Day 3 Afternoon
Sophia Taylor,sophia.taylor@college.harvard.edu,Joe's Clothes (1),Dana's Dancing (2),Max's Music (1),Lollie's Trolly (2),Bimba's Limbo (1),Keren's Cartwheels (2)
Noah Taylor,noah.taylor@college.harvard.edu,Dana's Dancing (1),Avi's Art (2),Adam's Architecture (1),Joy's Voice (2),Gabby's Great's (1),Crystal's Whistles (2)
Ethan Smith,ethan.smith@college.harvard.edu,Avi's Art (1),Texaco's Tunes (2),Max's Music (1),AJ's Wordplay (2),Crystal's Whistles (1),Bimba's Limbo (3)
Emma Taylor,emma.taylor@college.harvard.edu,Elyse's Energy (1),Zach's Wax (2),Joy's Voice (1),Lollie's Trolly (2),Keren's Cartwheels (1),Bimba's Limbo (3)
Emma Smith,emma.smith@college.harvard.edu,Avi's Art (1),Elyse's Energy (4),Adam's Architecture (1),Max's Music (2),Gabby's Great's (1),Priya's Party (2)
Liam Anderson,liam.anderson@college.harvard.edu,Dana's Dancing (1),Joe's Clothes (2),Adam's Architecture (1),AJ's Wordplay (2),Crystal's Whistles (1),Keren's Cartwheels (2)
Emma Anderson,emma.anderson@college.harvard.edu,Avi's Art (1),Elyse's Energy (4),Adam's Architecture (1),Max's Music (2),Gabby's Great's (1),Keren's Cartwheels (2)
Emma Anderson,emma.anderson@college.harvard.edu,Avi's Art (1),Zach's Wax (2),Joy's Voice (1),Em's Kin (2),Ria's Rave (1),Keren's Cartwheels (3)
Mason Johnson,mason.johnson@college.harvard.edu,Elyse's Energy (1),Avi's Art (2),Em's Kin (1),Joy's Voice (2),Priya's Party (2),Bimba's Limbo (1)
William Jackson,william.jackson@college.harvard.edu,Dana's Dancing (1),Avi's Art (2),Lollie's Trolly (1),Adam's Architecture (2),Crystal's Whistles (1),Priya's Party (2)
Ava Thomas,ava.thomas@college.harvard.edu,Joe's Clothes (2),Zach's Wax (1),Lollie's Trolly (1),AJ's Wordplay (2),Gabby's Great's (1),Priya's Party (2)
Liam Miller,liam.miller@college.harvard.edu,Dana's Dancing (1),Texaco's Tunes (2),AJ's Wordplay (2),Em's Kin (1),Ria's Rave (1),Crystal's Whistles (2)
Isabella Wilson,isabella.wilson@college.harvard.edu,Texaco's Tunes (1),Dana's Dancing (2),Max's Music (1),Joy's Voice (2),Keren's Cartwheels (1),Bimba's Limbo (2)
Isabella Brown,isabella.brown@college.harvard.edu,Joe's Clothes (1),Zach's Wax (2),Em's Kin (1),Adam's Architecture (2),Gabby's Great's (2),Bimba's Limbo (1)
Ethan Moore,ethan.moore@college.harvard.edu,Avi's Art (1),Texaco's Tunes (2),Adam's Architecture (2),Joy's Voice (1),Gabby's Great's (1),Keren's Cartwheels (2)
Mason Jackson,mason.jackson@college.harvard.edu,Elyse's Energy (1),Joe's Clothes (2),Lollie's Trolly (1),Adam's Architecture (2),Keren's Cartwheels (2),Bimba's Limbo (1)
Sophia Miller,sophia.miller@college.harvard.edu,Avi's Art (1),Elyse's Energy (2),Max's Music (1),AJ's Wordplay (2),Crystal's Whistles (1),Keren's Cartwheels (2)
Mason Miller,mason.miller@college.harvard.edu,Elyse's Energy (3),Unassigned,Em's Kin (1),Max's Music (2),Keren's Cartwheels (2),Bimba's Limbo (1)
William Smith,william.smith@college.harvard.edu,Texaco's Tunes (1),Dana's Dancing (2),Lollie's Trolly (1),Max's Music (2),Crystal's Whistles (1),Bimba's Limbo (3)
Mason Wilson,mason.wilson@college.harvard.edu,Joe's Clothes (1),Elyse's Energy (2),Joy's Voice (1),Adam's Architecture (2),Priya's Party (1),Crystal's Whistles (2)
Olivia Anderson,olivia.anderson@college.harvard.edu,Avi's Art (1),Zach's Wax (2),Max's Music (4),Joy's Voice (1),Gabby's Great's (1),Bimba's Limbo (2)
Noah Taylor,noah.taylor@college.harvard.edu,Zach's Wax (1),Elyse's Energy (2),Em's Kin (1),Adam's Architecture (2),Priya's Party (1),Crystal's Whistles (2)
Ethan Smith,ethan.smith@college.harvard.edu,Dana's Dancing (2),Texaco's Tunes (3),AJ's Wordplay (1),Em's Kin (2),Keren's Cartwheels (2),Bimba's Limbo (1)
Isabella Moore,isabella.moore@college.harvard.edu,Joe's Clothes (1),Avi's Art (2),Joy's Voice (1),Em's Kin (2),Crystal's Whistles (1),Keren's Cartwheels (3)
Olivia Jackson,olivia.jackson@college.harvard.edu,Dana's Dancing (2),Texaco's Tunes (3),Em's Kin (1),Max's Music (2),Crystal's Whistles (1),Priya's Party (2)
Sophia Brown,sophia.brown@college.harvard.edu,Texaco's Tunes (1),Elyse's Energy (2),AJ's Wordplay (1),Max's Music (2),Gabby's Great's (2),Priya's Party (1)
Isabella Taylor,isabella.taylor@college.harvard.edu,Zach's Wax (1),Avi's Art (2),Max's Music (1),AJ's Wordplay (2),Gabby's Great's (3),Priya's Party (4)
William Miller,william.miller@college.harvard.edu,Dana's Dancing (1),Joe's Clothes (2),Em's Kin (1),Joy's Voice (2),Ria's Rave (3),Priya's Party (1)
